summit_name,deaths_on_summit,accidents
Hafersack,1.0,0.0
Glatter Turm,0.0,0.0
Nasse-Schlucht-Turm,0.0,0.0
Peterskirche,0.0,0.0
Papst,0.0,0.0
Enkel,0.0,0.0
Buch,,0.0
Einsamer Turm,,0.0
Kehllochscheibe,,0.0
Versteckte Spitze,,0.0
Tümpelgrundturm,,0.0
Tümpelgrundwächter,,0.0
Postakegel,,3.0
Buschholzturm,,1.0
Wetterwarte,,2.0
Bergfalkenturm,,0.0
Steinerner Bär,,0.0
Höllengrundscheibe,,0.0
Zwölfer,,0.0
Tümpelgrundwand,,0.0
Elbgucke,,0.0
Griesgrundwächter,,0.0
Heidematz,0.0,4.0
Steinbachturm,0.0,1.0
Heidewand,0.0,1.0
Glocke,0.0,1.0
Glöckner,0.0,1.0
Wilderer,0.0,1.0
Zyklopenmauer,1.0,4.0
Wildensteinwand,0.0,1.0
Blasketurm,0.0,4.0
Hebamme,0.0,3.0
Rabentürmchen,1.0,6.0
Lorenzsteinnadel,0.0,1.0
Großer Lorenzstein,1.0,12.0
Kleiner Lorenzstein,1.0,9.0
Monolith,0.0,1.0
Zschandspitze,0.0,1.0
Teichsteinwächter,1.0,1.0
Kanstein-Vorgipfel,0.0,3.0
Rätselturm (Späte Zinne),0.0,1.0
Kleinsteinwand,0.0,5.0
Kansteinnadel,0.0,0.0
Buschmühlenturm,0.0,0.0
Grünling,0.0,0.0
Städelschlüchteturm,0.0,0.0
Eremit,0.0,0.0
Zätzschenhornstein,0.0,0.0
Wildensteinscheibe,0.0,0.0
Münzstein,0.0,0.0
Wildspitze,0.0,0.0
Hohler Turm,0.0,0.0
Hausbergwächter,0.0,0.0
Großsteinnadel,0.0,0.0
Teichsteinnadel,0.0,0.0
E-Flügel-Wand,0.0,0.0
Buschmühle,0.0,0.0
