summit_name,deaths_on_summit,accidents
Kleiner Eislochturm,0.0,1.0
Großer Eislochturm,0.0,2.0
Troika,0.0,1.0
Waldscheibe,0.0,1.0
Sonnenturm,0.0,1.0
Fichtenkegel,0.0,1.0
Bonzenzahn,0.0,2.0
Verlassene Wand,2.0,7.0
Großer Glücksturm,0.0,3.0
Sheriff,0.0,1.0
Vergessene Spitze,0.0,3.0
Morscher Kopf,0.0,1.0
Scheitan,0.0,1.0
Stiller Kegel,0.0,1.0
Gnomkönig,0.0,1.0
Dürrebielezahn,0.0,2.0
Vorderer Dürrebielewächter,0.0,3.0
Bewachsene Spitze,0.0,1.0
Falkenwand,0.0,6.0
Gespaltener Turm,0.0,3.0
Glatter Kegel,0.0,7.0
Stinkmorchel,0.0,1.0
Waldkauz,0.0,1.0
Zwei Horzel,0.0,3.0
Schildbürger,0.0,1.0
Blatt,1.0,2.0
Planspitze,0.0,3.0
Pokal,0.0,2.0
Mittelwandnadel,0.0,1.0
Mittelwand,0.0,3.0
Mittelwandscheibe,0.0,1.0
Nussknacker,0.0,1.0
Dürrebielenadel,0.0,2.0
Ringelspitze,0.0,1.0
Falkenspitze,0.0,1.0
Turm der Felsenbrüder,0.0,3.0
Hansenstein,0.0,1.0
Akropolis,0.0,1.0
Archimedes,0.0,3.0
Praxedis,0.0,2.0
Sokrates,0.0,2.0
Kleiner Grenzturm,0.0,3.0
Großer Grenzturm,1.0,2.0
Titan,0.0,3.0
Castello,0.0,1.0
Burgenerturm,0.0,1.0
Adam und Eva,0.0,1.0
Wachsamer Förster,0.0,2.0
Schwarzmühlenspitze,0.0,3.0
Arnsteiner Turm,0.0,1.0
Harmonienadel,0.0,2.0
Harmoniekopf,0.0,1.0
Große Zinne,0.0,1.0
Südwestliche Zinne,0.0,1.0
Pagode,0.0,1.0
Mäuseturm,0.0,1.0
Glasergrundwand,0.0,3.0
Glasergrundwarte,0.0,2.0
Krallenturm,0.0,1.0
Glasergrundnadel,0.0,1.0
Lochstein,0.0,2.0
Unbenannter Turm,0.0,1.0
Glasergrundwächter,0.0,1.0
Adlerstein,0.0,1.0
Totenkopf,1.0,1.0
Waldwächter,0.0,1.0
Hauptwiesenstein,1.0,7.0
Hinterer Wiesenstein,0.0,1.0
Wiesenkopf,0.0,1.0
Zauberberg,0.0,3.0
Johanniskegel,0.0,2.0
Friederike,0.0,2.0
Johanniskopf,0.0,1.0
Artariastein,1.0,3.0
Schusterturm,0.0,2.0
Dürrebielewand,0.0,0.0
Nördliche Waldtornadel,0.0,0.0
David,0.0,0.0
Bergstation,0.0,0.0
Siebenschläferturm,1.0,0.0
"Liebespaar, Nordturm",1.0,0.0
Dieb,,0.0
Pascher (Dreifreundeturm),,0.0
Grenzwächter,,0.0
Hellendorfer Nadel,,0.0
Gendarm,,1.0
Kuckuckstein,,0.0
Östlicher Berggießhübler Turm,,0.0
Westlicher Berggießhübler Turm,,3.0
Brandstein,,0.0
Grenzspitze,,0.0
Bahratalwand,,3.0
Mordspitze,,0.0
Großer Felsenbrückenturm,,0.0
Giesensteinwand,,0.0
Goldstein,5.0,11.0
Waldgeist,1.0,1.0
Jortanshorn,1.0,2.0
Adventspitze,1.0,0.0
Großes Seehorn,1.0,3.0
Backofen,1.0,2.0
Großes Spitzes Horn,0.0,1.0
Meilerstein (Stumpfes Horn),0.0,1.0
Blaues Horn,0.0,2.0
Sommerwand,0.0,2.0
Großlitzner,0.0,2.0
Weißer Turm,0.0,1.0
Kampfturm,0.0,3.0
Kampfturmwächter,0.0,3.0
Bergfreundschaftsstein,0.0,1.0
Unterer Hickelturm,0.0,1.0
Vorderer Hickelturm,0.0,1.0
Langes Horn,0.0,2.0
Hickelkopf,0.0,1.0
Klingermassiv,0.0,2.0
Brötchen,0.0,1.0
Thorwaldstein,0.0,1.0
Kaaba,0.0,0.0
Kleines Spitzes Horn,0.0,0.0
Goldsteigsäule,0.0,0.0
Grenzwand,0.0,0.0
Kleines Jortanshorn,0.0,0.0
Zschandgendarm,0.0,0.0
Weberschluchtturm,0.0,0.0
Kleines Seehorn,0.0,0.0
Sandschlüchteturm,0.0,0.0
Bergfreundschaftskegel,0.0,0.0
Auerhahnwand,0.0,0.0
Hinterer Hickelturm,0.0,0.0
Großer Edelweißturm,0.0,0.0
Krampus,0.0,0.0
Reitsteigwächter,0.0,0.0
Thorwalder Wächter,0.0,0.0
Erreichtturm,0.0,0.0
Gewitterstein,0.0,0.0
Dreiwinkelgrundwächter,0.0,0.0
Dreiwinkelgrundturm,0.0,0.0
Schreckensteiner Turm,0.0,0.0
Spitzhübel,0.0,0.0
Goldsteighorn,0.0,0.0
Richterschluchtkegel,0.0,0.0
Schwarze Zinne,0.0,0.0
Jortansriff,0.0,0.0
Fensterturm,0.0,0.0
Weberschluchtkegel,0.0,0.0
Zeichengrundturm,0.0,0.0
Dreiblockstein,0.0,0.0
Thorwalder Turm,0.0,0.0
Oktoberspitze,0.0,0.0
Zweikiefernturm,0.0,0.0
Zschandnadel,0.0,0.0
Christelschluchtnadel,0.0,0.0
Zeichengrundspitze,0.0,0.0
Tarzan (Rotweinspitze),0.0,0.0
Pfingststein,0.0,0.0
Scheibe am Tellerhörnel,,0.0
Keule (Osterspitze),,0.0
Gemeinschaftsturm (Einsamer Turm),,0.0
Kirnitzschkegel,,0.0
Rabensteinturm (Ameisenturm),,1.0
Raubschütznadel,,0.0
Gamskopf,,1.0
Hollturm,,0.0
Eisenspitze,,0.0
Unterer Dreibrüderstein,,0.0
Dorfbachstein,,0.0
Raubschützturm,,0.0
Hinterhermsdorfer Turm,,0.0
Grüner Wenzel,,0.0
Dorfbachwand,,0.0
Wildkatzenspitze,,0.0
Dreibrüderstein,,2.0
Osterspitze,0.0,0.0
Brandpyramide,0.0,2.0
Pantinenturm,0.0,3.0
Polenztalbarbarine,0.0,0.0
Neuwegkanzel,0.0,0.0
Saugrundwächter,0.0,0.0
Schwarzwildturm,0.0,1.0
Glatter Steinturm,0.0,0.0
Tonne,0.0,0.0
Drillingsturm,0.0,0.0
Dezemberturm,0.0,2.0
Geyergucke,0.0,1.0
Hans-Arno-Stein,0.0,0.0
Spanische Wand,0.0,1.0
Kleine Brandscheibe,0.0,1.0
Hexe (Hänsel),0.0,0.0
Kleine Barbarine,0.0,0.0
Auguste,0.0,0.0
Schinderkopf,0.0,0.0
Bärengartenscheibe,0.0,0.0
Grüner Stein,0.0,0.0
Kolosseum,0.0,0.0
Einsamer Stein,0.0,0.0
Spund,0.0,0.0
Winkelturm,0.0,0.0
Berg-Frei-Turm,0.0,1.0
Großer Halben,0.0,2.0
Kleiner Halben,0.0,1.0
Ameise,0.0,1.0
Steinbruchnadel,0.0,2.0
Berken-von-der-Duba-Wacht,0.0,4.0
Nashorn,0.0,1.0
Anstand,0.0,1.0
Polenztalwächter,0.0,1.0
Panoramafels,0.0,2.0
Tiefblickspitze,0.0,2.0
Brandscheibe,1.0,5.0
Hafersackkrone,0.0,1.0
Lärmchenturm,1.0,2.0
Michaelistagstein,0.0,1.0
Ochelscheibe,0.0,1.0
Clementine,0.0,0.0
Verlassener Turm,0.0,0.0
Viermännerturm,0.0,0.0
Brandkegel,0.0,0.0
Tiefer-Grund-Turm,0.0,0.0
Tiefer-Grund-Wächter,0.0,0.0
Saugrundspitze,0.0,0.0
Promon,1.0,0.0
Bahnhofswächter,0.0,0.0
Doppeltürmchen,0.0,1.0
Obere Winterbergspitze,0.0,2.0
Untere Winterbergspitze,0.0,3.0
Nördlicher Gleitmannsturm,0.0,1.0
Südlicher Gleitmannsturm,0.0,1.0
Sammlerwand,0.0,1.0
Vorderer Versteckter Turm,0.0,1.0
Heringstein,1.0,8.0
Seife,0.0,1.0
Elfiturm,0.0,1.0
Frühlingswand,0.0,1.0
Köhler,0.0,1.0
Hinteres Pechofenhorn,1.0,3.0
Wartburg,0.0,13.0
Moses,0.0,1.0
Hinterer Versteckter Turm,0.0,0.0
Heringsturm,0.0,0.0
Heringshorn,0.0,0.0
Kathinkaturm,0.0,0.0
Meilensäule,0.0,0.0
Sumpfporstkegel,0.0,0.0
Winterbergscheibe,0.0,0.0
Winterbergwächter,0.0,0.0
Sprotte,0.0,0.0
Friedensturm (Pilzturm),0.0,0.0
Herbertfels,0.0,0.0
Zauberstab,0.0,0.0
Kleines Bärenhorn,0.0,0.0
Großes Bärenhorn,0.0,0.0
Pechofenstein,0.0,0.0
Pechofenspitze,0.0,0.0
Bärfangkegel,0.0,0.0
Bärfangwarte,0.0,0.0
Prinz Karneval,0.0,0.0
Kraxelbrüderscheibe,1.0,0.0
Hirschgrundkegel,2.0,7.0
Wartturm,2.0,23.0
Sieberturm,2.0,6.0
Tiedgestein,9.0,18.0
Mönch,4.0,32.0
Basteischluchtturm,1.0,3.0
Wehlkopf,1.0,1.0
Kleiner Wehlturm,5.0,8.0
Großer Wehlturm,7.0,8.0
Doppelkopf,1.0,1.0
Zitronenkopf,1.0,1.0
Kanzelscheibe,1.0,3.0
Wehlnadel,2.0,4.0
Hinterer Gansfels,4.0,5.0
Vorderer Gansfels,12.0,34.0
Gansriff,1.0,2.0
Raaber Turm,1.0,14.0
Raaber Säule,2.0,8.0
Höllenhund,4.0,21.0
Westlicher Turm der Jugend,1.0,2.0
Luginsland,1.0,1.0
Maxl,1.0,0.0
Amselspitze,1.0,6.0
Vexierturm,5.0,13.0
Lokomotive-Dom,1.0,16.0
